time [s],Cell Voltage [V],SOC [%]
780,3.556,14.95972382
781,3.556,14.97890295
782,3.556,14.99808209
783,3.5565,15.01726122
784,3.557,15.03644035
785,3.557,15.05561949
786,3.557,15.07479862
787,3.5565,15.09397775
788,3.556,15.11315689
789,3.556,15.13233602
790,3.556,15.15151515
791,3.5565,15.17069428
792,3.557,15.18987342
793,3.557,15.20905255
794,3.557,15.22823168
795,3.557,15.24741082
796,3.557,15.26658995
797,3.557,15.28576908
798,3.557,15.30494822
799,3.557,15.32412735
800,3.557,15.34330648
801,3.557,15.36248562
802,3.557,15.38166475
803,3.557,15.40084388
804,3.557,15.42002301
805,3.557,15.43920215
806,3.557,15.45838128
807,3.557,15.47756041
808,3.557,15.49673955
809,3.557,15.51591868
810,3.557,15.53509781
811,3.557,15.55427695
812,3.557,15.57345608
813,3.557,15.59263521
814,3.557,15.61181435
815,3.557,15.63099348
816,3.557,15.65017261
817,3.557,15.66935175
818,3.557,15.68853088
819,3.557,15.70771001
820,3.557,15.72688914
821,3.557,15.74606828
822,3.557,15.76524741
823,3.557,15.78442654
824,3.557,15.80360568
825,3.562,15.82278481
826,3.567,15.84196394
827,3.562,15.86114308
828,3.557,15.88032221
829,3.557,15.89950134
830,3.557,15.91868048
831,3.557,15.93785961
832,3.557,15.95703874
833,3.557,15.97621787
834,3.557,15.99539701
835,3.557,16.01457614
836,3.557,16.03375527
837,3.5585,16.05293441
838,3.56,16.07211354
839,3.56,16.09129267
840,3.56,16.11047181
841,3.5585,16.12965094
842,3.557,16.14883007
843,3.557,16.16800921
844,3.557,16.18718834
845,3.5585,16.20636747
846,3.56,16.22554661
847,3.5595,16.24472574
848,3.559,16.26390487
849,3.56,16.283084
850,3.561,16.30226314
851,3.561,16.32144227
852,3.561,16.3406214
853,3.5605,16.35980054
854,3.56,16.37897967
855,3.56,16.3981588
856,3.56,16.41733794
857,3.5605,16.43651707
858,3.561,16.4556962
859,3.5625,16.47487534
860,3.564,16.49405447
861,3.564,16.5132336
862,3.564,16.53241273
863,3.5615,16.55159187
864,3.559,16.570771
865,3.5595,16.58995013
866,3.56,16.60912927
867,3.563,16.6283084
868,3.566,16.64748753
869,3.5665,16.66666667
870,3.567,16.6858458
871,3.567,16.70502493
872,3.567,16.72420407
873,3.5665,16.7433832
874,3.566,16.76256233
875,3.567,16.78174147
876,3.568,16.8009206
877,3.5675,16.82009973
878,3.567,16.83927886
879,3.5675,16.858458
880,3.568,16.87763713
881,3.5675,16.89681626
882,3.567,16.9159954
883,3.567,16.93517453
884,3.567,16.95435366
885,3.5675,16.9735328
886,3.568,16.99271193
887,3.5675,17.01189106
888,3.567,17.0310702
889,3.5675,17.05024933
890,3.568,17.06942846
891,3.5675,17.08860759
892,3.567,17.10778673
893,3.5665,17.12696586
894,3.566,17.14614499
895,3.5665,17.16532413
896,3.567,17.18450326
897,3.5675,17.20368239
898,3.568,17.22286153
899,3.568,17.24204066
900,3.568,17.26121979
901,3.568,17.28039893
902,3.568,17.29957806
903,3.568,17.31875719
904,3.568,17.33793633
905,3.568,17.35711546
906,3.568,17.37629459
907,3.568,17.39547372
908,3.568,17.41465286
909,3.568,17.43383199
910,3.568,17.45301112
911,3.568,17.47219026
912,3.568,17.49136939
913,3.568,17.51054852
914,3.568,17.52972766
915,3.568,17.54890679
916,3.568,17.56808592
917,3.568,17.58726506
